Move Name,Type,Accuracy,Move Category,Effect Chance,PP,Priority,Power,HP Based Damage,Target,Effect Entry
twineedle,bug,100,physical,20,20,0,25,No,selected-pokemon,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.
pin-missile,bug,95,physical,-1,20,0,25,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
leer,normal,100,status,100,30,0,-1,No,all-opponents,Lowers the target's Defense by one stage.
bite,dark,100,physical,30,25,0,60,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to make the target flinch.
growl,normal,100,status,-1,40,0,-1,No,all-opponents,Lowers the target's Attack by one stage.
roar,normal,-1,status,-1,20,-6,-1,No,selected-pokemon,Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.  Doesn't affect Pokémon with suction cups or under the effect of ingrain.
sing,normal,55,status,-1,15,0,-1,No,selected-pokemon,Puts the target to sleep.
supersonic,normal,55,status,-1,20,0,-1,No,selected-pokemon,Confuses the target.
sonic-boom,normal,90,special,-1,20,0,-1,No,selected-pokemon,Inflicts exactly 20 damage.
disable,normal,100,status,-1,20,0,-1,No,selected-pokemon,Disables the target's last used move  preventing its use for 4–7 turns  selected at random  or until the target leaves the field.  If the target hasn't used a move since entering the field  if it tried to use a move this turn and failed   if its last used move has 0 PP remaining  or if it already has a move disabled  this move will fail.
acid,poison,100,special,10,30,0,40,No,all-opponents,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
ember,fire,100,special,10,25,0,40,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to burn the target.
flamethrower,fire,100,special,10,15,0,90,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to burn the target.
mist,ice,-1,status,-1,30,0,-1,No,users-field,Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.  guard swap  heart swap  and power swap may still be used.  defog used by an opponent will end this effect.
water-gun,water,100,special,-1,25,0,40,No,selected-pokemon,Inflicts regular damage.
hydro-pump,water,80,special,-1,5,0,110,No,selected-pokemon,Inflicts regular damage.
surf,water,100,special,-1,15,0,90,No,all-other-pokemon,Inflicts regular damage.  If the target is in the first turn of dive  this move will hit with double power.
ice-beam,ice,100,special,10,10,0,90,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to freeze the target.
blizzard,ice,70,special,10,5,0,110,No,all-opponents,Inflicts regular damage.  Has a 10% chance to freeze the target.  During hail  this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.
psybeam,psychic,100,special,10,20,0,65,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to confuse the target.
bubble-beam,water,100,special,10,20,0,65,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
aurora-beam,ice,100,special,10,20,0,65,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.
hyper-beam,normal,90,special,-1,5,0,150,No,selected-pokemon,Inflicts regular damage.  User loses its next turn to "recharge"  and cannot attack or switch out during that turn.
peck,flying,100,physical,-1,35,0,35,No,selected-pokemon,Inflicts regular damage.
drill-peck,flying,100,physical,-1,20,0,80,No,selected-pokemon,Inflicts regular damage.
submission,fighting,80,physical,-1,20,0,80,No,selected-pokemon,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
low-kick,fighting,100,physical,-1,20,0,-1,No,selected-pokemon,Inflicts regular damage.  Power increases with the target's weight in kilograms  to a maximum of 120.  Target's weight | Power --------------- | ----: Up to 10kg      |    20 Up to 25kg      |    40 Up to 50kg      |    60 Up to 100kg     |    80 Up to 200kg     |   100 Above 200kg     |   120 
counter,fighting,100,physical,-1,20,-5,-1,No,specific-move,Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target  this move will fail.  Type immunity applies  but other type effects are ignored.  This move cannot be copied by mirror move  nor selected by assist or metronome.
seismic-toss,fighting,100,physical,-1,20,0,-1,No,selected-pokemon,Inflicts damage equal to the user's level.  Type immunity applies  but other type effects are ignored.
strength,normal,100,physical,-1,15,0,80,No,selected-pokemon,Inflicts regular damage.
absorb,grass,100,special,-1,25,0,20,No,selected-pokemon,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
mega-drain,grass,100,special,-1,15,0,40,No,selected-pokemon,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
leech-seed,grass,90,status,-1,10,0,-1,No,selected-pokemon,Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.  The user takes damage instead of being healed if the target has liquid ooze.  rapid spin will remove this effect.  This effect is passed on by baton pass.
growth,normal,-1,status,-1,20,0,-1,No,user,Raises the user's Attack and Special Attack by one stage each.  During sunny day  raises both stats by two stages.
razor-leaf,grass,95,physical,-1,25,0,55,No,all-opponents,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
solar-beam,grass,100,special,-1,10,0,120,No,selected-pokemon,Inflicts regular damage.  User charges for one turn before attacking.  During sunny day  the charge turn is skipped.  During hail  rain dance  or sandstorm  power is halved.  This move cannot be selected by sleep talk.
poison-powder,poison,75,status,-1,35,0,-1,No,selected-pokemon,Poisons the target.
stun-spore,grass,75,status,-1,30,0,-1,No,selected-pokemon,Paralyzes the target.
sleep-powder,grass,75,status,-1,15,0,-1,No,selected-pokemon,Puts the target to sleep.
petal-dance,grass,100,special,-1,10,0,120,No,random-opponent,Inflicts regular damage.  User is forced to attack with this move for 2–3 turns selected at random.  After the last hit  the user becomes confused.  safeguard does not protect against the confusion from this move.
string-shot,bug,95,status,-1,40,0,-1,No,all-opponents,Lowers the target's Speed by two stages.
dragon-rage,dragon,100,special,-1,10,0,-1,No,selected-pokemon,Inflicts exactly 40 damage.
fire-spin,fire,85,special,100,15,0,35,No,selected-pokemon,Inflicts regular damage.  For the next 2–5 turns  the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field  this effect ends.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.
thunder-shock,electric,100,special,10,30,0,40,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to paralyze the target.
thunderbolt,electric,100,special,10,15,0,90,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to paralyze the target.
thunder-wave,electric,90,status,-1,20,0,-1,No,selected-pokemon,Paralyzes the target.
thunder,electric,70,special,30,10,0,110,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to paralyze the target.  During rain dance  this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.  During sunny day  this move has 50% accuracy.
rock-throw,rock,90,physical,-1,15,0,50,No,selected-pokemon,Inflicts regular damage.
earthquake,ground,100,physical,-1,10,0,100,No,all-other-pokemon,Inflicts regular damage.  If the target is in the first turn of dig  this move will hit with double power.
fissure,ground,30,physical,-1,5,0,-1,No,selected-pokemon,Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target  this move will fail.  Because this move inflicts a specific and finite amount of damage  endure still prevents the target from fainting.  The effects of lock on  mind reader  and no guard still apply  as long as the user is equal or higher level than the target.  However  they will not give this move a chance to break through detect or protect.
dig,ground,100,physical,-1,10,0,80,No,selected-pokemon,Inflicts regular damage.  User digs underground for one turn  becoming immune to attack  and hits on the second turn.  During the immune turn  earthquake  fissure  and magnitude still hit the user normally  and their power is doubled if appropriate.  The user may be hit during its immune turn if under the effect of lock on  mind reader  or no guard.  This move cannot be selected by sleep talk.
toxic,poison,90,status,-1,10,0,-1,No,selected-pokemon,Badly poisons the target.  Never misses when used by a poison-type Pokémon.
confusion,psychic,100,special,10,25,0,50,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to confuse the target.
psychic,psychic,100,special,10,10,0,90,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
hypnosis,psychic,60,status,-1,20,0,-1,No,selected-pokemon,Puts the target to sleep.
meditate,psychic,-1,status,-1,40,0,-1,No,user,Raises the user's Attack by one stage.
agility,psychic,-1,status,-1,30,0,-1,No,user,Raises the user's Speed by two stages.
quick-attack,normal,100,physical,-1,30,1,40,No,selected-pokemon,Inflicts regular damage.
rage,normal,100,physical,-1,20,0,20,No,selected-pokemon,Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action  its Attack raises by one stage.
teleport,psychic,-1,status,-1,20,-6,-1,No,user,Does nothing.  Wild battles end immediately.
night-shade,ghost,100,special,-1,15,0,-1,No,selected-pokemon,Inflicts damage equal to the user's level.  Type immunity applies  but other type effects are ignored.
mimic,normal,-1,status,-1,10,0,-1,No,selected-pokemon,This move is replaced by the target's last successfully used move  and its PP changes to 5.  If the target hasn't used a move since entering the field  if it tried to use a move this turn and failed  or if the user already knows the targeted move  this move will fail.  This effect vanishes when the user leaves the field.  If chatter  metronome  mimic  sketch  or struggle is selected  this move will fail.  This move cannot be copied by mirror move  nor selected by assist or metronome  nor forced by encore.
screech,normal,85,status,-1,40,0,-1,No,selected-pokemon,Lowers the target's Defense by two stages.
double-team,normal,-1,status,-1,15,0,-1,No,user,Raises the user's evasion by one stage.
recover,normal,-1,status,-1,5,0,-1,No,user,Heals the user for half its max HP.
harden,normal,-1,status,-1,30,0,-1,No,user,Raises the user's Defense by one stage.
minimize,normal,-1,status,-1,10,0,-1,No,user,Raises the user's evasion by two stages.  stomp and steamroller have double power against Pokémon that have used this move since entering the field.
smokescreen,normal,100,status,-1,20,0,-1,No,selected-pokemon,Lowers the target's accuracy by one stage.
confuse-ray,ghost,100,status,-1,10,0,-1,No,selected-pokemon,Confuses the target.
withdraw,water,-1,status,-1,40,0,-1,No,user,Raises the user's Defense by one stage.
defense-curl,normal,-1,status,-1,40,0,-1,No,user,Raises user's Defense by one stage.  After this move is used  the power of ice ball and rollout are doubled until the user leaves the field.
barrier,psychic,-1,status,-1,20,0,-1,No,user,Raises the user's Defense by two stages.
light-screen,psychic,-1,status,-1,30,0,-1,No,users-field,Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles  the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay  the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier.
haze,ice,-1,status,-1,30,0,-1,No,entire-field,Removes stat  accuracy  and evasion modifiers from every Pokémon on the field.  This does not count as a stat reduction for the purposes of clear body or white smoke.
reflect,psychic,-1,status,-1,20,0,-1,No,users-field,Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles  the reduction is 1/3.  Critical hits are not affected by the barrier.  If the user is holding light clay  the barrier lasts for eight turns.  brick break or defog used by an opponent will destroy the barrier.
focus-energy,normal,-1,status,-1,30,0,-1,No,user,User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field  this move will fail.  This effect is passed on by baton pass.
bide,normal,-1,physical,-1,10,1,-1,No,user,User waits for two turns.  On the second turn  the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.  This move cannot be selected by sleep talk.
metronome,normal,-1,status,-1,10,0,-1,No,user,Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist  meta  protection  and reflection moves are also not eligible; specifically  assist  chatter  copycat  counter  covet  destiny bond  detect  endure  feint  focus punch  follow me  helping hand  me first  metronome  mimic  mirror coat  mirror move  protect  quick guard  sketch  sleep talk  snatch  struggle  switcheroo  thief  trick  and wide guard will not be selected by this move.  This move cannot be copied by mimic or mirror move  nor selected by assist  metronome  or sleep talk.
mirror-move,flying,-1,status,-1,20,0,-1,No,selected-pokemon,Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon  as long as the user was one of them; however  moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field  or if no Pokémon that targeted the user remains on the field  this move will fail.  Moves that failed  missed  had no effect  or were blocked are still copied.  Assist moves  time-delayed moves  “meta” moves that operate on other moves/Pokémon/abilities  and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move  the previous move will be used instead.  The full list of ignored moves is: acid armor  acupressure  after you  agility  ally switch  amnesia  aqua ring  aromatherapy  aromatic mist  assist  autotomize  barrier  baton pass  belch  belly drum  bide  bulk up  calm mind  camouflage  celebrate  charge  coil  conversion  conversion 2  copycat  cosmic power  cotton guard  counter  crafty shield  curse  defend order  defense curl  destiny bond  detect  doom desire  double team  dragon dance  electric terrain  endure  final gambit  flower shield  focus energy  focus punch  follow me  future sight  geomancy  grassy terrain  gravity  growth  grudge  guard split  hail  happy hour  harden  haze  heal bell  heal order  heal pulse  healing wish  helping hand  hold hands  hone claws  howl  imprison  ingrain  ion deluge  iron defense  kings shield  light screen  lucky chant  lunar dance  magic coat  magnet rise  magnetic flux  mat block  me first  meditate  metronome  milk drink  mimic  minimize  mirror coat  mirror move  mist  misty terrain  moonlight  morning sun  mud sport  nasty plot  nature power  perish song  power split  power trick  protect  psych up  quick guard  quiver dance  rage powder  rain dance  recover  recycle  reflect  reflect type  refresh  rest  rock polish  role play  roost  rototiller  safeguard  sandstorm  shadow blast  shadow bolt  shadow half  shadow rush  shadow shed  shadow sky  shadow storm  shadow wave  sharpen  shell smash  shift gear  sketch  slack off  sleep talk  snatch  soft boiled  spikes  spiky shield  spit up  splash  stealth rock  sticky web  stockpile  struggle  substitute  sunny day  swallow  swords dance  synthesis  tail glow  tailwind  teleport  toxic spikes  transform  water sport  wide guard  wish  withdraw and work up.  This move cannot be selected by assist  metronome  or sleep talk  nor forced by encore.
self-destruct,normal,100,physical,-1,5,0,200,No,all-other-pokemon,User faints  even if the attack fails or misses.  Inflicts regular damage.
egg-bomb,normal,75,physical,-1,10,0,100,No,selected-pokemon,Inflicts regular damage.
lick,ghost,100,physical,30,30,0,30,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to paralyze the target.
smog,poison,70,special,40,20,0,30,No,selected-pokemon,Inflicts regular damage.  Has a 40% chance to poison the target.
sludge,poison,100,special,30,20,0,65,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to poison the target.
bone-club,ground,85,physical,10,20,0,65,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to make the target flinch.
fire-blast,fire,85,special,10,5,0,110,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to burn the target.
waterfall,water,100,physical,20,15,0,80,No,selected-pokemon,Inflicts regular damage.  Has a 20% chance to make the target flinch.
clamp,water,85,physical,100,15,0,35,No,selected-pokemon,Inflicts regular damage.  For the next 2–5 turns  the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field  this effect ends.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.
swift,normal,-1,special,-1,20,0,60,No,all-opponents,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
skull-bash,normal,100,physical,100,10,0,130,No,selected-pokemon,Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.  This move cannot be selected by sleep talk.
spike-cannon,normal,100,physical,-1,15,0,20,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
constrict,normal,100,physical,10,35,0,10,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
amnesia,psychic,-1,status,-1,20,0,-1,No,user,Raises the user's Special Defense by two stages.
kinesis,psychic,80,status,-1,15,0,-1,No,selected-pokemon,Lowers the target's accuracy by one stage.
soft-boiled,normal,-1,status,-1,5,0,-1,No,user,Heals the user for half its max HP.
high-jump-kick,fighting,90,physical,-1,10,0,130,No,selected-pokemon,Inflicts regular damage. If this move misses  is blocked by protect or detect  or has no effect  the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect.
glare,normal,100,status,-1,30,0,-1,No,selected-pokemon,Paralyzes the target.
dream-eater,psychic,100,special,-1,15,0,100,No,selected-pokemon,Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.
poison-gas,poison,90,status,-1,40,0,-1,No,all-opponents,Poisons the target.
barrage,normal,85,physical,-1,20,0,15,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
leech-life,bug,100,physical,-1,10,0,80,No,selected-pokemon,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
lovely-kiss,normal,75,status,-1,10,0,-1,No,selected-pokemon,Puts the target to sleep.
sky-attack,flying,90,physical,30,5,0,140,No,selected-pokemon,Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.  This move cannot be selected by sleep talk.
transform,normal,-1,status,-1,10,0,-1,No,selected-pokemon,User copies the target's species  weight  type  ability  calculated stats (except HP)  and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power  but stats are not recalculated.  choice band  choice scarf  and choice specs stay in effect  and the user must select a new move.  This move cannot be copied by mirror move  nor forced by encore.
bubble,water,100,special,10,30,0,40,No,all-opponents,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.
dizzy-punch,normal,100,physical,20,10,0,70,No,selected-pokemon,Inflicts regular damage.  Has a 20% chance to confuse the target.
spore,grass,100,status,-1,15,0,-1,No,selected-pokemon,Puts the target to sleep.
flash,normal,100,status,-1,20,0,-1,No,selected-pokemon,Lowers the target's accuracy by one stage.
psywave,psychic,100,special,-1,15,0,-1,No,selected-pokemon,Inflicts typeless damage between 50% and 150% of the user's level  selected at random in increments of 10%.
splash,normal,-1,status,-1,40,0,-1,No,user,Does nothing.  This move cannot be used while gravity is in effect.
acid-armor,poison,-1,status,-1,20,0,-1,No,user,Raises the user's Defense by two stages.
crabhammer,water,90,physical,-1,10,0,100,No,selected-pokemon,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
explosion,normal,100,physical,-1,5,0,250,No,all-other-pokemon,User faints  even if the attack fails or misses.  Inflicts regular damage.
fury-swipes,normal,80,physical,-1,15,0,18,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
bonemerang,ground,90,physical,-1,10,0,50,No,selected-pokemon,Inflicts regular damage.  Hits twice in one turn.
rest,psychic,-1,status,-1,5,0,-1,No,user,User falls to sleep and immediately regains all its HP.  If the user has another major status effect  sleep will replace it.  The user will always wake up after two turns  or one turn with early bird.  This move fails if the Pokémon cannot fall asleep due to uproar  insomnia  or vital spirit.  It also fails if the Pokémon is at full health or is already asleep.
rock-slide,rock,90,physical,30,10,0,75,No,all-opponents,Inflicts regular damage.  Has a 30% chance to make the target flinch.
hyper-fang,normal,90,physical,10,15,0,80,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to make the target flinch.
sharpen,normal,-1,status,-1,30,0,-1,No,user,Raises the user's Attack by one stage.
conversion,normal,-1,status,-1,30,0,-1,No,user,User's type changes to the type of one of its moves  selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible  and curse is never eligible.  If the user has no suitable moves  this move will fail.
tri-attack,normal,100,special,20,10,0,80,No,selected-pokemon,Inflicts regular damage.  Has a 20% chance to burn  freeze  or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur.
super-fang,normal,90,physical,-1,10,0,-1,No,selected-pokemon,Inflicts typeless damage equal to half the target's remaining HP.
slash,normal,100,physical,-1,20,0,70,No,selected-pokemon,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
